,feature_name,dfx_feature_importance
4,Total_Trans_Amt,0.00818049013780518
5,Avg_Utilization_Ratio,0.00556849230308831
6,Gender_M,0.005352601946391482
1,Total_Relationship_Count,0.00534810725125542
3,Contacts_Count_12_mon,0.0038155612000227135
17,Income_Category_$60K - $80K,0.002270256014210207
13,Marital_Status_Married,0.0016523079280840005
19,Income_Category_Unknown,0.0014387374140380428
10,Education_Level_Post-Graduate,0.001304041550121762
16,Income_Category_$40K - $60K,0.0012980969533288953
9,Education_Level_High School,0.0007977358915688197
0,Dependent_count,0.0007633732223027692
11,Education_Level_Uneducated,0.0006962427755931341
15,Marital_Status_Unknown,0.00046672334332244176
12,Education_Level_Unknown,0.0002825858329094308
7,Education_Level_Doctorate,0.00020878583857854174
14,Marital_Status_Single,0.0
8,Education_Level_Graduate,0.0
18,Income_Category_$80K - $120K,0.0
2,Months_Inactive_12_mon,0.0
20,Card_Category_Gold,0.0
21,Card_Category_Platinum,0.0
22,Card_Category_Silver,0.0
