,feature_name,dfx_feature_importance
5,previous,0.006178968717364665
54,marital_married_|_contact_telephone,0.006117008873811754
2,duration,0.005633732339575936
55,marital_married_|_month_may,0.005588735806859704
23,housing_yes,0.0053307398979097805
26,contact_unknown,0.0042794062304317496
25,contact_telephone,0.0041010022550261125
34,month_may,0.004072767109083054
19,education_secondary,0.003032069300371303
39,poutcome_success,0.00299123320110463
0,balance,0.0028252048593421348
58,month_dec_|_poutcome_other,0.0024515973923236608
3,campaign,0.0022552350083265395
4,pdays,0.0021784066457958243
51,job_student_|_job_technician,0.0020508876400681993
52,job_unemployed_|_marital_single,0.0018756392055672443
27,month_aug,0.001849272217551306
42,duration_|_housing_yes,0.0017667975765417493
30,month_jan,0.0017519522642069913
31,month_jul,0.0016686999270363672
49,job_retired_|_poutcome_other,0.0013929590151877792
17,marital_married,0.0013066655768180742
21,education_unknown,0.0012525055364510488
28,month_dec,0.0012299231894632731
9,job_management,0.0010612580685151062
6,job_blue-collar,0.0010014211895061147
13,job_student,0.0009077721474082087
57,month_aug_|_poutcome_success,0.0008921433196115602
18,marital_single,0.0008793676220231441
50,job_self-employed_|_default_yes,0.000850058822720585
24,loan_yes,0.0008026646348932972
48,job_retired_|_job_technician,0.0007720632575796233
47,job_entrepreneur_|_month_nov,0.0007674618991549358
33,month_mar,0.0006313772734444259
10,job_retired,0.0006305582914101105
37,month_sep,0.0005670896716495
11,job_self-employed,0.0004989381162169639
29,month_feb,0.0004135317127277483
46,job_entrepreneur_|_month_jan,0.00032162405772847305
20,education_tertiary,0.00030346290404899344
22,default_yes,0.0002964536647850612
41,duration_|_education_tertiary,0.00027195246823601745
8,job_housemaid,0.0002699584274643479
56,marital_single_|_month_oct,0.0002568426549666286
40,balance_|_month_mar,0.00022968032062621146
12,job_services,0.00022795877570292214
35,month_nov,0.00020034365674357406
43,campaign_|_job_housemaid,0.00014013130287262088
45,job_blue-collar_|_month_jul,0.0001395457388101439
15,job_unemployed,9.691563867820664e-05
32,month_jun,9.412224299150081e-05
14,job_technician,5.9534715744976874e-05
44,previous_|_contact_unknown,0.0
38,poutcome_other,0.0
36,month_oct,0.0
7,job_entrepreneur,0.0
53,job_unknown_|_poutcome_success,0.0
1,day,0.0
16,job_unknown,0.0
