,feature_name,dfx_feature_importance
17,TotalWorkingYears,0.0018861873495244878
21,YearsInCurrentRole,0.0017521737555423079
20,YearsAtCompany,0.0016034418911187696
24,Over18_Y,0.0014114453649713542
6,EnvironmentSatisfaction,0.0014104042447714532
18,TrainingTimesLastYear,0.0014047796147722055
27,Age_|_NumCompaniesWorked,0.0013128263217598794
2,DistanceFromHome,0.0011670425123387097
10,MonthlyRate,0.0011661844025971381
5,EmployeeNumber,0.001162004312087356
29,Age_|_TotalWorkingYears,0.0011383221369797893
16,StockOptionLevel,0.0008977483874526221
1,DailyRate,0.000795606857909819
11,NumCompaniesWorked,0.0007054816845691363
47,Education_|_StandardHours,0.000700599091184441
12,PercentSalaryHike,0.0006785052302160553
38,DistanceFromHome_|_JobInvolvement,0.0006465598157755534
56,EmployeeCount_|_TotalWorkingYears,0.0005570877502782239
28,Age_|_StandardHours,0.0005446697407546331
22,YearsSinceLastPromotion,0.0005386813427675818
26,Age_|_JobSatisfaction,0.0005169170429962093
39,DistanceFromHome_|_MonthlyRate,0.0004913720201118291
7,HourlyRate,0.00046254969657064945
86,JobSatisfaction_|_YearsAtCompany,0.00045881064714148366
49,Education_|_TrainingTimesLastYear,0.0004542207062418036
9,JobSatisfaction,0.0004465810230705441
44,Education_|_EmployeeCount,0.00044212225657384933
25,Age_|_Education,0.000386317778801135
46,Education_|_RelationshipSatisfaction,0.00037992286329628275
92,MonthlyRate_|_YearsInCurrentRole,0.00037438382509401703
51,Education_|_Over18_Y,0.00031706830256568685
15,StandardHours,0.00031418401671761727
43,DistanceFromHome_|_YearsWithCurrManager,0.0003081180094813786
31,DailyRate_|_DistanceFromHome,0.0002940610825455607
50,Education_|_YearsAtCompany,0.0002652485587364113
30,Age_|_YearsSinceLastPromotion,0.0002463883717655684
4,EmployeeCount,0.0002288339702925778
83,JobInvolvement_|_YearsSinceLastPromotion,0.00021544121126002423
8,JobInvolvement,0.00021144612619623432
79,JobInvolvement_|_NumCompaniesWorked,0.00021060335018834974
63,EmployeeNumber_|_RelationshipSatisfaction,0.00020799394084721715
104,PerformanceRating_|_StockOptionLevel,0.00019549118180720588
90,MonthlyRate_|_TotalWorkingYears,0.00018822507272373378
95,NumCompaniesWorked_|_PercentSalaryHike,0.00018679591874215374
42,DistanceFromHome_|_YearsAtCompany,0.00017458516583871944
62,EmployeeNumber_|_PerformanceRating,0.00016674961590832187
65,EmployeeNumber_|_YearsSinceLastPromotion,0.00014702954274030085
34,DailyRate_|_YearsInCurrentRole,0.00013760659098046817
81,JobInvolvement_|_WorkLifeBalance,0.00012877114569922313
107,RelationshipSatisfaction_|_StandardHours,0.0001277120352426013
93,MonthlyRate_|_YearsSinceLastPromotion,0.00010831754249737215
75,HourlyRate_|_YearsInCurrentRole,0.00010745975666160698
33,DailyRate_|_StockOptionLevel,0.00010443235711101526
115,StandardHours_|_YearsInCurrentRole,9.54678160551912e-05
55,EmployeeCount_|_PerformanceRating,9.071802857730249e-05
97,NumCompaniesWorked_|_WorkLifeBalance,8.530075594675147e-05
121,TotalWorkingYears_|_YearsWithCurrManager,7.907394412010034e-05
77,HourlyRate_|_Over18_Y,7.651981589840231e-05
19,WorkLifeBalance,7.517017157102051e-05
67,EnvironmentSatisfaction_|_PercentSalaryHike,6.968601518081221e-05
36,DailyRate_|_YearsWithCurrManager,6.646714570371785e-05
103,PercentSalaryHike_|_Over18_Y,6.413361065058657e-05
76,HourlyRate_|_YearsSinceLastPromotion,5.6447586128753345e-05
48,Education_|_StockOptionLevel,4.718083442563424e-05
53,EmployeeCount_|_EnvironmentSatisfaction,3.7505212733194674e-05
96,NumCompaniesWorked_|_StockOptionLevel,3.5633121837197716e-05
106,PerformanceRating_|_WorkLifeBalance,3.4680153643075727e-05
40,DistanceFromHome_|_TotalWorkingYears,2.6864376620869446e-05
52,EmployeeCount_|_EmployeeNumber,1.024125543926785e-05
82,JobInvolvement_|_YearsInCurrentRole,1.001880484001117e-05
58,EmployeeCount_|_YearsInCurrentRole,7.806720734858684e-06
72,HourlyRate_|_PerformanceRating,7.187222151269324e-06
23,YearsWithCurrManager,6.928337728157526e-06
126,YearsAtCompany_|_YearsInCurrentRole,2.6940714319473466e-06
101,PercentSalaryHike_|_StockOptionLevel,2.2654782030404034e-06
100,PercentSalaryHike_|_RelationshipSatisfaction,5.373799367224222e-07
73,HourlyRate_|_TotalWorkingYears,4.0057078059579357e-07
120,TotalWorkingYears_|_WorkLifeBalance,3.7198762258517143e-07
45,Education_|_EnvironmentSatisfaction,2.9859274955980566e-07
3,Education,2.870769636720761e-07
114,StandardHours_|_WorkLifeBalance,5.208599057996076e-09
124,TrainingTimesLastYear_|_YearsSinceLastPromotion,0.0
130,YearsSinceLastPromotion_|_YearsWithCurrManager,0.0
129,YearsInCurrentRole_|_Over18_Y,0.0
128,YearsAtCompany_|_YearsWithCurrManager,0.0
127,YearsAtCompany_|_YearsSinceLastPromotion,0.0
105,PerformanceRating_|_TrainingTimesLastYear,0.0
125,WorkLifeBalance_|_YearsAtCompany,0.0
102,PercentSalaryHike_|_WorkLifeBalance,0.0
108,RelationshipSatisfaction_|_TotalWorkingYears,0.0
123,TrainingTimesLastYear_|_YearsAtCompany,0.0
109,RelationshipSatisfaction_|_WorkLifeBalance,0.0
122,TrainingTimesLastYear_|_WorkLifeBalance,0.0
110,RelationshipSatisfaction_|_YearsAtCompany,0.0
111,RelationshipSatisfaction_|_YearsWithCurrManager,0.0
119,TotalWorkingYears_|_TrainingTimesLastYear,0.0
118,StockOptionLevel_|_Over18_Y,0.0
112,StandardHours_|_StockOptionLevel,0.0
117,StockOptionLevel_|_YearsWithCurrManager,0.0
113,StandardHours_|_TrainingTimesLastYear,0.0
116,StandardHours_|_YearsSinceLastPromotion,0.0
0,Age,0.0
66,EmployeeNumber_|_YearsWithCurrManager,0.0
99,NumCompaniesWorked_|_YearsWithCurrManager,0.0
68,EnvironmentSatisfaction_|_PerformanceRating,0.0
13,PerformanceRating,0.0
14,RelationshipSatisfaction,0.0
32,DailyRate_|_HourlyRate,0.0
35,DailyRate_|_YearsSinceLastPromotion,0.0
37,DistanceFromHome_|_HourlyRate,0.0
41,DistanceFromHome_|_TrainingTimesLastYear,0.0
54,EmployeeCount_|_MonthlyRate,0.0
57,EmployeeCount_|_WorkLifeBalance,0.0
59,EmployeeNumber_|_EnvironmentSatisfaction,0.0
60,EmployeeNumber_|_JobInvolvement,0.0
61,EmployeeNumber_|_MonthlyRate,0.0
64,EmployeeNumber_|_YearsAtCompany,0.0
69,EnvironmentSatisfaction_|_WorkLifeBalance,0.0
98,NumCompaniesWorked_|_YearsAtCompany,0.0
70,EnvironmentSatisfaction_|_YearsInCurrentRole,0.0
71,EnvironmentSatisfaction_|_YearsWithCurrManager,0.0
74,HourlyRate_|_YearsAtCompany,0.0
78,JobInvolvement_|_JobSatisfaction,0.0
80,JobInvolvement_|_TotalWorkingYears,0.0
84,JobSatisfaction_|_StockOptionLevel,0.0
85,JobSatisfaction_|_TrainingTimesLastYear,0.0
87,JobSatisfaction_|_YearsInCurrentRole,0.0
88,JobSatisfaction_|_YearsWithCurrManager,0.0
89,MonthlyRate_|_PerformanceRating,0.0
91,MonthlyRate_|_WorkLifeBalance,0.0
94,MonthlyRate_|_Over18_Y,0.0
131,YearsSinceLastPromotion_|_Over18_Y,0.0
