,feature_name,dfx_feature_importance
11,ram,0.20302242777961313
0,battery_power,0.01980178394449951
17,battery_power_|_ram,0.009353587683709828
10,px_height,0.009020802626018908
6,int_memory,0.004104127960202196
12,sc_w,0.002275492492758188
1,blue,0.0013848973321509666
8,n_cores,0.0011001446969941256
2,clock_speed,0.0007763006284105587
9,pc,0.0005311912043538199
13,talk_time,0.00022202980654806518
15,touch_screen,8.181030061992944e-05
3,dual_sim,0.0
4,fc,0.0
5,four_g,0.0
7,m_dep,0.0
14,three_g,0.0
16,wifi,0.0
