,feature_name,dfx_feature_importance
22,Card_Category_Silver,1
10,Education_Level_Post-Graduate,1
17,Income_Category_$60K - $80K,1
21,Card_Category_Platinum,1
15,Marital_Status_Unknown,1
14,Marital_Status_Single,1
13,Marital_Status_Married,1
12,Education_Level_Unknown,1
1,Total_Relationship_Count,1
9,Education_Level_High School,1
20,Card_Category_Gold,1
8,Education_Level_Graduate,1
7,Education_Level_Doctorate,1
6,Gender_M,1
5,Avg_Utilization_Ratio,1
4,Total_Trans_Amt,1
3,Contacts_Count_12_mon,1
2,Months_Inactive_12_mon,1
18,Income_Category_$80K - $120K,1
0,Dependent_count,-1
19,Income_Category_Unknown,-1
16,Income_Category_$40K - $60K,-1
11,Education_Level_Uneducated,-1
