,feature_name,dfx_feature_importance
0,balance,1
30,month_jan,1
21,education_unknown,1
24,loan_yes,1
26,contact_unknown,1
27,month_aug,1
45,job_blue-collar_|_month_jul,1
1,day,1
31,month_jul,1
19,education_secondary,1
44,previous_|_contact_unknown,1
34,month_may,1
35,month_nov,1
36,month_oct,1
42,duration_|_housing_yes,1
38,poutcome_other,1
41,duration_|_education_tertiary,1
39,poutcome_success,1
6,job_blue-collar,1
16,job_unknown,1
52,job_unemployed_|_marital_single,1
2,duration,1
57,month_aug_|_poutcome_success,1
14,job_technician,1
4,pdays,1
13,job_student,1
53,job_unknown_|_poutcome_success,1
11,job_self-employed,1
51,job_student_|_job_technician,1
55,marital_married_|_month_may,1
5,previous,1
7,job_entrepreneur,1
50,job_self-employed_|_default_yes,-1
54,marital_married_|_contact_telephone,-1
43,campaign_|_job_housemaid,-1
56,marital_single_|_month_oct,-1
46,job_entrepreneur_|_month_jan,-1
47,job_entrepreneur_|_month_nov,-1
48,job_retired_|_job_technician,-1
49,job_retired_|_poutcome_other,-1
29,month_feb,-1
40,balance_|_month_mar,-1
37,month_sep,-1
3,campaign,-1
8,job_housemaid,-1
9,job_management,-1
10,job_retired,-1
12,job_services,-1
15,job_unemployed,-1
17,marital_married,-1
18,marital_single,-1
20,education_tertiary,-1
22,default_yes,-1
23,housing_yes,-1
25,contact_telephone,-1
28,month_dec,-1
32,month_jun,-1
33,month_mar,-1
58,month_dec_|_poutcome_other,-1
