,feature_name,dfx_feature_importance
0,Age,1
60,EmployeeNumber_|_JobInvolvement,1
97,NumCompaniesWorked_|_WorkLifeBalance,1
96,NumCompaniesWorked_|_StockOptionLevel,1
94,MonthlyRate_|_Over18_Y,1
92,MonthlyRate_|_YearsInCurrentRole,1
91,MonthlyRate_|_WorkLifeBalance,1
90,MonthlyRate_|_TotalWorkingYears,1
89,MonthlyRate_|_PerformanceRating,1
88,JobSatisfaction_|_YearsWithCurrManager,1
87,JobSatisfaction_|_YearsInCurrentRole,1
86,JobSatisfaction_|_YearsAtCompany,1
85,JobSatisfaction_|_TrainingTimesLastYear,1
84,JobSatisfaction_|_StockOptionLevel,1
80,JobInvolvement_|_TotalWorkingYears,1
78,JobInvolvement_|_JobSatisfaction,1
76,HourlyRate_|_YearsSinceLastPromotion,1
75,HourlyRate_|_YearsInCurrentRole,1
74,HourlyRate_|_YearsAtCompany,1
73,HourlyRate_|_TotalWorkingYears,1
72,HourlyRate_|_PerformanceRating,1
71,EnvironmentSatisfaction_|_YearsWithCurrManager,1
70,EnvironmentSatisfaction_|_YearsInCurrentRole,1
69,EnvironmentSatisfaction_|_WorkLifeBalance,1
68,EnvironmentSatisfaction_|_PerformanceRating,1
67,EnvironmentSatisfaction_|_PercentSalaryHike,1
1,DailyRate,1
64,EmployeeNumber_|_YearsAtCompany,1
63,EmployeeNumber_|_RelationshipSatisfaction,1
98,NumCompaniesWorked_|_YearsAtCompany,1
99,NumCompaniesWorked_|_YearsWithCurrManager,1
100,PercentSalaryHike_|_RelationshipSatisfaction,1
118,StockOptionLevel_|_Over18_Y,1
130,YearsSinceLastPromotion_|_YearsWithCurrManager,1
129,YearsInCurrentRole_|_Over18_Y,1
128,YearsAtCompany_|_YearsWithCurrManager,1
127,YearsAtCompany_|_YearsSinceLastPromotion,1
126,YearsAtCompany_|_YearsInCurrentRole,1
125,WorkLifeBalance_|_YearsAtCompany,1
124,TrainingTimesLastYear_|_YearsSinceLastPromotion,1
123,TrainingTimesLastYear_|_YearsAtCompany,1
122,TrainingTimesLastYear_|_WorkLifeBalance,1
121,TotalWorkingYears_|_YearsWithCurrManager,1
120,TotalWorkingYears_|_WorkLifeBalance,1
119,TotalWorkingYears_|_TrainingTimesLastYear,1
117,StockOptionLevel_|_YearsWithCurrManager,1
102,PercentSalaryHike_|_WorkLifeBalance,1
116,StandardHours_|_YearsSinceLastPromotion,1
113,StandardHours_|_TrainingTimesLastYear,1
112,StandardHours_|_StockOptionLevel,1
111,RelationshipSatisfaction_|_YearsWithCurrManager,1
110,RelationshipSatisfaction_|_YearsAtCompany,1
109,RelationshipSatisfaction_|_WorkLifeBalance,1
108,RelationshipSatisfaction_|_TotalWorkingYears,1
107,RelationshipSatisfaction_|_StandardHours,1
106,PerformanceRating_|_WorkLifeBalance,1
105,PerformanceRating_|_TrainingTimesLastYear,1
104,PerformanceRating_|_StockOptionLevel,1
103,PercentSalaryHike_|_Over18_Y,1
61,EmployeeNumber_|_MonthlyRate,1
66,EmployeeNumber_|_YearsWithCurrManager,1
59,EmployeeNumber_|_EnvironmentSatisfaction,1
37,DistanceFromHome_|_HourlyRate,1
35,DailyRate_|_YearsSinceLastPromotion,1
34,DailyRate_|_YearsInCurrentRole,1
32,DailyRate_|_HourlyRate,1
31,DailyRate_|_DistanceFromHome,1
30,Age_|_YearsSinceLastPromotion,1
29,Age_|_TotalWorkingYears,1
27,Age_|_NumCompaniesWorked,1
26,Age_|_JobSatisfaction,1
25,Age_|_Education,1
23,YearsWithCurrManager,1
22,YearsSinceLastPromotion,1
21,YearsInCurrentRole,1
20,YearsAtCompany,1
19,WorkLifeBalance,1
17,TotalWorkingYears,1
16,StockOptionLevel,1
14,RelationshipSatisfaction,1
13,PerformanceRating,1
11,NumCompaniesWorked,1
10,MonthlyRate,1
9,JobSatisfaction,1
8,JobInvolvement,1
7,HourlyRate,1
5,EmployeeNumber,1
2,DistanceFromHome,1
36,DailyRate_|_YearsWithCurrManager,1
33,DailyRate_|_StockOptionLevel,1
131,YearsSinceLastPromotion_|_Over18_Y,1
54,EmployeeCount_|_MonthlyRate,1
49,Education_|_TrainingTimesLastYear,1
51,Education_|_Over18_Y,1
39,DistanceFromHome_|_MonthlyRate,1
47,Education_|_StandardHours,1
46,Education_|_RelationshipSatisfaction,1
52,EmployeeCount_|_EmployeeNumber,1
45,Education_|_EnvironmentSatisfaction,1
53,EmployeeCount_|_EnvironmentSatisfaction,1
44,Education_|_EmployeeCount,1
55,EmployeeCount_|_PerformanceRating,1
43,DistanceFromHome_|_YearsWithCurrManager,1
57,EmployeeCount_|_WorkLifeBalance,1
41,DistanceFromHome_|_TrainingTimesLastYear,1
40,DistanceFromHome_|_TotalWorkingYears,1
50,Education_|_YearsAtCompany,-1
56,EmployeeCount_|_TotalWorkingYears,-1
65,EmployeeNumber_|_YearsSinceLastPromotion,-1
6,EnvironmentSatisfaction,-1
12,PercentSalaryHike,-1
4,EmployeeCount,-1
3,Education,-1
58,EmployeeCount_|_YearsInCurrentRole,-1
15,StandardHours,-1
38,DistanceFromHome_|_JobInvolvement,-1
115,StandardHours_|_YearsInCurrentRole,-1
114,StandardHours_|_WorkLifeBalance,-1
18,TrainingTimesLastYear,-1
77,HourlyRate_|_Over18_Y,-1
24,Over18_Y,-1
79,JobInvolvement_|_NumCompaniesWorked,-1
81,JobInvolvement_|_WorkLifeBalance,-1
28,Age_|_StandardHours,-1
101,PercentSalaryHike_|_StockOptionLevel,-1
82,JobInvolvement_|_YearsInCurrentRole,-1
83,JobInvolvement_|_YearsSinceLastPromotion,-1
42,DistanceFromHome_|_YearsAtCompany,-1
62,EmployeeNumber_|_PerformanceRating,-1
95,NumCompaniesWorked_|_PercentSalaryHike,-1
93,MonthlyRate_|_YearsSinceLastPromotion,-1
48,Education_|_StockOptionLevel,-1
