,feature_name,dfx_feature_importance
2,Inflight wifi service,0.04064782466011235
7,Online boarding,0.0239539789786073
8,Seat comfort,0.014349443530520025
0,Age,0.008603152246770364
11,Leg room service,0.00849692300007046
13,Checkin service,0.00750889240509252
9,Inflight entertainment,0.004903771922911574
1,Flight Distance,0.0048280310408605346
4,Ease of Online booking,0.00409645300078213
10,On-board service,0.0028896456853473645
6,Food and drink,0.00258800548190655
14,Inflight service,0.0025746424965498284
15,Cleanliness,0.0022099886815773614
3,Departure/Arrival time convenient,0.0012756824772423667
12,Baggage handling,0.0007027996186042974
5,Gate location,0.00015365876307577253
