,feature_name,dfx_feature_importance
5,previous,0.012458503461277933
2,duration,0.01009611049246403
23,housing_yes,0.004469462951428846
26,contact_unknown,0.004102678636963203
34,month_may,0.0037505740835110687
25,contact_telephone,0.0032195861565659386
19,education_secondary,0.002834452140833449
0,balance,0.002502270120185287
39,poutcome_success,0.0021285653469561563
27,month_aug,0.0020172088741252565
3,campaign,0.0019319614048111799
30,month_jan,0.0017089338928419405
4,pdays,0.0014932462613794324
31,month_jul,0.0013220173347006183
16,job_unknown,0.0007724699956170511
17,marital_married,0.0007129121080765898
18,marital_single,0.0007017974318806776
21,education_unknown,0.0003888039559858928
9,job_management,0.00019744278563144286
28,month_dec,0.0001569685874085372
6,job_blue-collar,0.0001375703317835615
35,month_nov,0.0
33,month_mar,0.0
32,month_jun,0.0
36,month_oct,0.0
37,month_sep,0.0
29,month_feb,0.0
38,poutcome_other,0.0
24,loan_yes,0.0
10,job_retired,0.0
7,job_entrepreneur,0.0
22,default_yes,0.0
1,day,0.0
8,job_housemaid,0.0
15,job_unemployed,0.0
14,job_technician,0.0
13,job_student,0.0
12,job_services,0.0
11,job_self-employed,0.0
20,education_tertiary,0.0
