,feature_name,dfx_feature_importance
12,Schiller,0.007565640888637987
7,IUD,0.003269146893348611
0,Number of sexual partners,0.002937959247748557
6,Hormonal Contraceptives (years),0.0017068662433941126
11,Hinselmann,0.001528476098766718
5,Hormonal Contraceptives,0.0013455194795665042
1,Num of pregnancies,0.0010902535509483195
2,Smokes,0.0008076866279200199
8,IUD (years),0.000793701799540882
3,Smokes (years),0.0002604109592105009
9,Dx:CIN,4.435963098603747e-05
10,Dx:HPV,1.3148592722988153e-05
4,Smokes (packs/year),0.0
13,Citology,0.0
