,feature_name,dfx_feature_importance
20,YearsAtCompany,0.0022549909255898445
21,YearsInCurrentRole,0.002169288162936071
17,TotalWorkingYears,0.0019131881427707311
6,EnvironmentSatisfaction,0.0017861464004839873
18,TrainingTimesLastYear,0.0017165759225650492
16,StockOptionLevel,0.0016964105666465135
5,EmployeeNumber,0.001604658197217192
24,Over18_Y,0.001601633393829398
10,MonthlyRate,0.001421153458358538
1,DailyRate,0.0011771526517443272
11,NumCompaniesWorked,0.0010773341399475825
12,PercentSalaryHike,0.0009533172010485873
2,DistanceFromHome,0.0009069368824359635
7,HourlyRate,0.000797035692679976
9,JobSatisfaction,0.0007153660012099159
22,YearsSinceLastPromotion,0.0005560596894535247
4,EmployeeCount,0.0004965718894938688
8,JobInvolvement,0.0004824561403508989
0,Age,0.0002606372252470267
23,YearsWithCurrManager,0.00025660415406331697
15,StandardHours,0.00023643879814479727
19,WorkLifeBalance,0.0002283726557773798
3,Education,0.00019812462189957772
14,RelationshipSatisfaction,0.00010939705585801546
13,PerformanceRating,5.2934059286142976e-05
