,feature_name,dfx_feature_importance
0,balance,1
19,education_secondary,1
21,education_unknown,1
22,default_yes,1
24,loan_yes,1
26,contact_unknown,1
27,month_aug,1
29,month_feb,1
30,month_jan,1
31,month_jul,1
32,month_jun,1
33,month_mar,1
34,month_may,1
35,month_nov,1
36,month_oct,1
37,month_sep,1
38,poutcome_other,1
1,day,1
20,education_tertiary,1
11,job_self-employed,1
10,job_retired,1
2,duration,1
4,pdays,1
5,previous,1
6,job_blue-collar,1
7,job_entrepreneur,1
8,job_housemaid,1
39,poutcome_success,1
12,job_services,1
13,job_student,1
14,job_technician,1
15,job_unemployed,1
16,job_unknown,1
28,month_dec,-1
17,marital_married,-1
9,job_management,-1
25,contact_telephone,-1
23,housing_yes,-1
3,campaign,-1
18,marital_single,-1
