,feature_name,dfx_feature_importance
9,JobSatisfaction,1
19,WorkLifeBalance,1
16,StockOptionLevel,1
20,YearsAtCompany,1
21,YearsInCurrentRole,1
13,PerformanceRating,1
1,DailyRate,1
11,NumCompaniesWorked,1
10,MonthlyRate,1
17,TotalWorkingYears,1
8,JobInvolvement,1
7,HourlyRate,1
22,YearsSinceLastPromotion,1
5,EmployeeNumber,1
23,YearsWithCurrManager,1
3,Education,1
2,DistanceFromHome,1
0,Age,-1
12,PercentSalaryHike,-1
18,TrainingTimesLastYear,-1
15,StandardHours,-1
14,RelationshipSatisfaction,-1
6,EnvironmentSatisfaction,-1
4,EmployeeCount,-1
24,Over18_Y,-1
